id,brewery_id,latitude,longitude,accuracy
1,1,30.223400115966797,-97.76969909667969,ROOFTOP
2,2,37.782501220703125,-122.39299774169922,ROOFTOP
3,3,50.76679992675781,4.30810022354126,RANGE_INTERPOLATED
4,4,59.74509811401367,10.213500022888184,APPROXIMATE
5,5,50.26060104370117,4.912199974060059,APPROXIMATE
6,6,50.30929946899414,4.764599800109863,GEOMETRIC_CENTER
7,7,50.19990158081055,5.227700233459473,RANGE_INTERPOLATED
8,8,41.22249984741211,-77.03690338134766,RANGE_INTERPOLATED
9,9,41.43920135498047,-87.10780334472656,RANGE_INTERPOLATED
10,10,30.504899978637695,-89.94400024414062,APPROXIMATE
11,11,52.327701568603516,1.6801999807357788,APPROXIMATE
12,12,50.96989822387695,4.189199924468994,APPROXIMATE
13,13,49.765201568603516,-97.15390014648438,APPROXIMATE
14,14,41.26029968261719,-96.09030151367188,RANGE_INTERPOLATED
15,15,47.87810134887695,10.616100311279297,ROOFTOP
16,16,45.54840087890625,-122.61900329589844,ROOFTOP
17,17,58.3572998046875,-134.49000549316406,ROOFTOP
18,20,43.125701904296875,-89.32530212402344,RANGE_INTERPOLATED
19,21,32.891998291015625,-117.14399719238281,ROOFTOP
20,22,21.306900024414062,-157.85800170898438,APPROXIMATE
21,23,43.70280075073242,-70.31659698486328,RANGE_INTERPOLATED
22,24,43.70280075073242,-70.31659698486328,RANGE_INTERPOLATED
23,25,40.601600646972656,-75.4739990234375,RANGE_INTERPOLATED
24,26,47.74869918823242,10.5693998336792,ROOFTOP
25,26,47.72370147705078,10.31410026550293,ROOFTOP
26,28,38.05009841918945,-84.50879669189453,RANGE_INTERPOLATED
27,29,32.83549880981445,-116.76499938964844,RANGE_INTERPOLATED
28,30,48.345699310302734,8.40310001373291,ROOFTOP
29,31,50.91899871826172,3.263200044631958,RANGE_INTERPOLATED
30,32,41.760501861572266,-88.30899810791016,ROOFTOP
31,33,38.89659881591797,-121.0770034790039,APPROXIMATE
32,34,39.15510177612305,-94.48200225830078,RANGE_INTERPOLATED
33,35,42.37630081176758,-72.5198974609375,RANGE_INTERPOLATED
34,36,38.53499984741211,-105.99199676513672,ROOFTOP
35,37,52.37379837036133,4.890900135040283,APPROXIMATE
36,38,48.5192985534668,-122.61299896240234,RANGE_INTERPOLATED
37,39,37.76350021362305,-122.4010009765625,ROOFTOP
38,40,47.977500915527344,11.1850004196167,ROOFTOP
39,41,39.001399993896484,-123.35600280761719,ROOFTOP
40,42,44.351600646972656,-69.14009857177734,RANGE_INTERPOLATED
41,43,43.07849884033203,-89.38200378417969,APPROXIMATE
42,44,38.59830093383789,-90.20899963378906,RANGE_INTERPOLATED
43,45,40.265899658203125,-76.87529754638672,ROOFTOP
44,46,44.26190185546875,-88.41539764404297,APPROXIMATE
45,47,42.321998596191406,-85.18509674072266,RANGE_INTERPOLATED
46,49,53.343299865722656,-6.284599781036377,APPROXIMATE
47,51,35.622100830078125,-82.55359649658203,ROOFTOP
48,54,33.81800079345703,-84.435302734375,ROOFTOP
49,55,44.399600982666016,-68.33399963378906,ROOFTOP
50,56,42.33720016479492,-83.01860046386719,ROOFTOP
51,57,44.28960037231445,-94.4489974975586,RANGE_INTERPOLATED
52,58,44.28960037231445,-94.4489974975586,RANGE_INTERPOLATED
53,59,38.5702018737793,-90.88020324707031,RANGE_INTERPOLATED
54,61,-37.96799850463867,144.52499389648438,ROOFTOP
55,62,40.0166015625,-105.21900177001953,ROOFTOP
56,1394,35.61970138549805,-78.80850219726562,ROOFTOP
58,63,41.61240005493164,-86.72679901123047,RANGE_INTERPOLATED
59,64,39.576499938964844,-106.09400177001953,RANGE_INTERPOLATED
60,65,44.04859924316406,-91.67739868164062,RANGE_INTERPOLATED
61,66,44.4213981628418,-84.11669921875,APPROXIMATE
62,68,32.76679992675781,-117.19499969482422,ROOFTOP
63,69,39.41999816894531,-76.54000091552734,APPROXIMATE
64,70,49.890098571777344,10.906700134277344,ROOFTOP
65,71,44.16360092163086,-93.99939727783203,APPROXIMATE
66,72,44.38750076293945,-68.20459747314453,RANGE_INTERPOLATED
67,73,38.916900634765625,-94.39430236816406,ROOFTOP
68,74,48.39789962768555,9.989899635314941,ROOFTOP
69,75,34.47019958496094,-114.3499984741211,RANGE_INTERPOLATED
70,76,41.05229949951172,-75.33540344238281,APPROXIMATE
71,77,40.0452995300293,-86.0155029296875,ROOFTOP
72,78,45.0359992980957,-93.19840240478516,ROOFTOP
73,79,39.9744987487793,-83.04900360107422,ROOFTOP
74,80,39.971900939941406,-83.00270080566406,ROOFTOP
75,81,36.07210159301758,-115.07499694824219,ROOFTOP
76,82,47.520301818847656,-122.31199645996094,RANGE_INTERPOLATED
77,83,39.11360168457031,-84.5260009765625,RANGE_INTERPOLATED
78,84,39.97669982910156,-74.18289947509766,RANGE_INTERPOLATED
79,85,52.80459976196289,-1.628100037574768,RANGE_INTERPOLATED
80,86,10.963899612426758,-74.79640197753906,APPROXIMATE
81,87,41.237998962402344,-77.01029968261719,RANGE_INTERPOLATED
82,1393,44.100399017333984,-70.21479797363281,APPROXIMATE
83,88,48.395198822021484,11.728799819946289,ROOFTOP
84,89,46.87260055541992,-114.0199966430664,ROOFTOP
85,90,38.254600524902344,-85.74009704589844,ROOFTOP
86,91,28.538299560546875,-81.37920379638672,APPROXIMATE
87,92,37.76940155029297,-122.51000213623047,ROOFTOP
88,93,51.89699935913086,-8.476900100708008,GEOMETRIC_CENTER
89,94,38.61119842529297,-122.87100219726562,RANGE_INTERPOLATED
90,96,38.8916015625,-121.29299926757812,APPROXIMATE
91,97,44.429500579833984,-68.9749984741211,RANGE_INTERPOLATED
92,98,55.99700164794922,-2.5097999572753906,GEOMETRIC_CENTER
93,99,17.497699737548828,-88.18669891357422,APPROXIMATE
94,100,42.2843017578125,-85.45379638671875,ROOFTOP
95,101,43.194698333740234,-88.72899627685547,APPROXIMATE
96,102,41.50590133666992,-90.51709747314453,RANGE_INTERPOLATED
97,103,52.47930145263672,13.429300308227539,ROOFTOP
98,104,52.523399353027344,13.411399841308594,APPROXIMATE
99,106,40.62200164794922,-75.38200378417969,RANGE_INTERPOLATED
100,107,40.110599517822266,-88.2072982788086,APPROXIMATE
101,108,32.32929992675781,-96.62529754638672,APPROXIMATE
102,109,51.516300201416016,5.597700119018555,RANGE_INTERPOLATED
103,110,51.54399871826172,5.128499984741211,RANGE_INTERPOLATED
104,111,51.168399810791016,6.051499843597412,RANGE_INTERPOLATED
105,112,37.77560043334961,-122.39800262451172,ROOFTOP
106,113,35.81039810180664,-78.6178970336914,ROOFTOP
107,114,45.022300720214844,-84.68260192871094,GEOMETRIC_CENTER
108,115,42.963401794433594,-85.66809844970703,APPROXIMATE
109,116,36.24259948730469,-115.23600006103516,ROOFTOP
110,117,45.77360153198242,-111.1719970703125,RANGE_INTERPOLATED
111,118,42.151100158691406,-87.91439819335938,ROOFTOP
112,119,49.10490036010742,-122.69000244140625,APPROXIMATE
113,120,49.1343994140625,-123.06500244140625,ROOFTOP
114,121,50.98469924926758,-113.95600128173828,ROOFTOP
115,122,46.922298431396484,-114.072998046875,ROOFTOP
116,123,47.65760040283203,-122.31300354003906,ROOFTOP
117,124,45.898101806640625,-123.96099853515625,ROOFTOP
118,125,50.09429931640625,8.691300392150879,ROOFTOP
119,127,46.05970001220703,13.226900100708008,RANGE_INTERPOLATED
120,128,44.51530075073242,7.892199993133545,RANGE_INTERPOLATED
121,129,44.660099029541016,10.281399726867676,RANGE_INTERPOLATED
122,130,37.863399505615234,-122.25900268554688,ROOFTOP
123,131,49.9739990234375,6.52269983291626,APPROXIMATE
124,132,45.52349853515625,-122.6760025024414,APPROXIMATE
125,133,33.91320037841797,-117.88899993896484,ROOFTOP
126,135,41.88169860839844,-87.69259643554688,APPROXIMATE
127,136,37.22999954223633,-80.41000366210938,APPROXIMATE
128,137,36.152000427246094,-86.79889678955078,ROOFTOP
129,138,38.833900451660156,-104.82099914550781,APPROXIMATE
130,139,45.532501220703125,-122.68599700927734,APPROXIMATE
131,140,39.171600341796875,-86.5103988647461,RANGE_INTERPOLATED
132,141,43.05979919433594,-89.30850219726562,ROOFTOP
